time,l,r
2020-03-11 16:22:03.240,1,1
2020-03-11 16:22:03.500,1,0
2020-03-11 16:22:03.740,1,0
2020-03-11 16:22:04.000,1,1
2020-03-11 16:22:04.240,0,1
2020-03-11 16:22:04.500,1,1
2020-03-11 16:22:04.740,1,1
2020-03-11 16:22:05.000,1,0
2020-03-11 16:22:05.240,0,1
2020-03-11 16:22:05.500,1,0
2020-03-11 16:22:05.740,1,1
2020-03-11 16:22:06.000,1,1
2020-03-11 16:22:06.240,1,1
2020-03-11 16:22:06.500,1,1
2020-03-11 16:22:06.740,1,0
2020-03-11 16:22:07.000,1,1
2020-03-11 16:22:07.240,0,1
2020-03-11 16:22:07.500,1,0
2020-03-11 16:22:07.740,0,1
2020-03-11 16:22:08.000,0,1
2020-03-11 16:22:08.240,1,1
2020-03-11 16:22:08.500,1,1
2020-03-11 16:22:08.740,0,1
2020-03-11 16:22:09.000,1,1
2020-03-11 16:22:09.240,1,1
2020-03-11 16:22:09.500,1,1
2020-03-11 16:22:09.740,1,1
2020-03-11 16:22:10.000,1,1
2020-03-11 16:22:10.240,0,1
2020-03-11 16:22:10.500,0,1
2020-03-11 16:22:10.740,0,1
2020-03-11 16:22:11.000,1,0
2020-03-11 16:22:11.240,1,1
2020-03-11 16:22:11.500,0,1
2020-03-11 16:22:11.740,1,0
2020-03-11 16:22:12.000,0,0
2020-03-11 16:22:12.240,1,1
2020-03-11 16:22:12.500,1,1
2020-03-11 16:22:12.740,0,0
2020-03-11 16:22:13.000,0,1
2020-03-11 16:22:13.240,1,1
2020-03-11 16:22:13.500,1,1
2020-03-11 16:22:13.740,1,1
2020-03-11 16:22:14.000,1,1
2020-03-11 16:22:14.240,1,1
2020-03-11 16:22:14.500,0,0
2020-03-11 16:22:14.740,0,1
2020-03-11 16:22:15.000,1,0
2020-03-11 16:22:15.240,1,1
2020-03-11 16:22:15.500,1,0
2020-03-11 16:22:15.740,1,0
2020-03-11 16:22:16.000,1,0
2020-03-11 16:22:16.240,1,1
2020-03-11 16:22:16.500,1,1
2020-03-11 16:22:16.740,1,1
2020-03-11 16:22:17.000,1,1
2020-03-11 16:22:17.240,1,1
2020-03-11 16:22:17.500,1,1
2020-03-11 16:22:17.740,1,1
2020-03-11 16:22:18.000,1,1
2020-03-11 16:22:18.240,1,1
2020-03-11 16:22:18.500,1,1
2020-03-11 16:22:18.740,1,0
2020-03-11 16:22:19.000,0,1
2020-03-11 16:22:19.240,1,1
2020-03-11 16:22:19.500,1,1
2020-03-11 16:22:19.740,0,0
2020-03-11 16:22:20.000,1,1
2020-03-11 16:22:20.240,1,0
2020-03-11 16:22:20.500,1,1
2020-03-11 16:22:20.740,1,0
2020-03-11 16:22:21.000,0,1
2020-03-11 16:22:21.240,1,1
2020-03-11 16:22:21.500,1,1
2020-03-11 16:22:21.740,1,1
2020-03-11 16:22:22.000,0,1
2020-03-11 16:22:22.240,1,1
2020-03-11 16:22:22.500,1,1
2020-03-11 16:22:22.740,1,1
2020-03-11 16:22:23.000,0,1
2020-03-11 16:22:23.240,0,1
2020-03-11 16:22:23.500,1,1
2020-03-11 16:22:23.740,1,1
2020-03-11 16:22:24.000,1,1
2020-03-11 16:22:24.240,0,1
2020-03-11 16:22:24.500,0,1
2020-03-11 16:22:24.740,0,1
2020-03-11 16:22:25.000,1,1
2020-03-11 16:22:25.240,1,1
2020-03-11 16:22:25.500,1,1
2020-03-11 16:22:25.740,1,1
2020-03-11 16:22:26.000,1,1
2020-03-11 16:22:26.240,1,1
2020-03-11 16:22:26.500,0,1
2020-03-11 16:22:26.740,1,1
2020-03-11 16:22:27.000,0,1
2020-03-11 16:22:27.240,1,1
2020-03-11 16:22:27.500,1,1
2020-03-11 16:22:27.740,1,1
2020-03-11 16:22:28.000,1,1
2020-03-11 16:22:28.240,1,1
2020-03-11 16:22:28.500,1,1
2020-03-11 16:22:28.740,1,1
2020-03-11 16:22:29.000,1,1
2020-03-11 16:22:29.240,1,1
2020-03-11 16:22:29.500,1,1
2020-03-11 16:22:29.740,1,1
2020-03-11 16:22:30.000,0,1
2020-03-11 16:22:30.240,1,1
2020-03-11 16:22:30.500,1,1
2020-03-11 16:22:30.740,1,1
2020-03-11 16:22:31.000,1,1
2020-03-11 16:22:31.240,1,1
2020-03-11 16:22:31.500,0,1
2020-03-11 16:22:31.740,1,0
2020-03-11 16:22:32.000,1,1
2020-03-11 16:22:32.240,1,0
