time,l,r,iteration
2020-03-11 12:29:13.240,1,1,0
2020-03-11 12:33:29.740,1,1,0
2020-03-11 12:30:23.240,1,1,0
2020-03-11 16:51:05.500,0,0,0
2020-03-11 12:31:02.500,0,1,0
2020-03-11 12:34:00.000,1,0,0
2020-03-11 12:33:58.000,1,1,0
2020-03-11 12:34:35.500,1,1,0
2020-03-11 12:29:00.000,1,1,0
2020-03-11 12:33:50.500,1,1,0
2020-03-11 12:33:04.000,1,1,0
2020-03-11 12:29:15.240,1,1,0
2020-03-11 12:34:29.500,1,1,0
2020-03-11 12:29:48.240,0,1,0
2020-03-11 16:51:04.000,0,0,0
2020-03-11 12:31:26.000,1,1,0
2020-03-11 12:34:23.740,1,1,0
2020-03-11 16:51:17.000,0,0,0
2020-03-11 12:34:19.740,1,1,0
2020-03-11 12:31:59.240,1,1,0
2020-03-11 12:30:54.000,1,1,0
2020-03-11 12:33:54.500,1,1,0
2020-03-11 16:51:23.740,0,0,0
2020-03-11 12:29:51.000,0,1,0
2020-03-11 12:30:38.500,1,1,0
2020-03-11 12:34:42.000,0,1,0
2020-03-11 12:29:51.500,0,1,0
2020-03-11 12:33:19.240,1,1,0
2020-03-11 16:50:53.500,0,1,0
2020-03-11 12:28:44.240,0,1,0
2020-03-11 12:28:56.240,1,1,0
2020-03-11 16:51:32.240,0,0,0
2020-03-11 12:32:06.500,1,1,0
2020-03-11 12:35:19.500,0,0,0
2020-03-11 12:34:29.000,1,1,0
2020-03-11 12:35:07.240,1,0,0
2020-03-11 12:34:37.240,0,1,0
2020-03-11 12:30:52.740,0,1,0
2020-03-11 12:31:47.740,0,1,0
2020-03-11 12:29:20.740,1,1,0
2020-03-11 12:34:26.240,1,1,0
2020-03-11 16:50:48.740,0,0,0
2020-03-11 12:29:55.240,1,1,0
2020-03-11 12:33:23.740,1,1,0
2020-03-11 12:30:49.240,0,1,0
2020-03-11 16:51:01.000,0,0,0
2020-03-11 16:50:55.240,0,1,0
2020-03-11 12:29:28.500,1,1,0
