time,r,iteration
2020-03-11 16:22:53.240,1,0
2020-03-11 16:21:52.000,1,0
2020-03-11 16:23:39.740,1,0
2020-03-11 16:24:20.240,1,0
2020-03-11 16:21:42.500,1,0
2020-03-11 16:22:51.740,1,0
2020-03-11 16:24:53.240,1,0
2020-03-11 16:24:18.740,1,0
2020-03-11 16:23:15.740,1,0
2020-03-11 16:24:19.000,1,0
2020-03-11 16:22:11.240,1,0
2020-03-11 16:21:59.500,1,0
2020-03-11 16:26:32.500,1,0
2020-03-11 16:25:00.240,1,0
2020-03-11 16:23:19.000,1,0
2020-03-11 16:22:04.240,1,0
2020-03-11 17:05:35.740,1,0
2020-03-11 17:05:53.500,1,0
2020-03-11 16:24:27.740,1,0
2020-03-11 16:26:12.740,1,0
2020-03-11 16:23:19.240,1,0
2020-03-11 16:22:13.000,1,0
2020-03-11 16:23:00.000,1,0
2020-03-11 16:24:35.240,1,0
2020-03-11 16:24:52.500,1,0
2020-03-11 17:05:42.460,1,0
2020-03-11 16:22:05.240,1,0
2020-03-11 17:05:39.740,1,0
2020-03-11 16:24:35.500,1,0
2020-03-11 16:24:55.240,1,0
2020-03-11 16:26:35.240,1,0
2020-03-11 16:23:28.240,0,0
2020-03-11 16:26:09.500,1,0
2020-03-11 16:24:25.240,1,0
2020-03-11 16:25:49.500,1,0
2020-03-11 16:24:53.500,1,0
2020-03-11 16:26:14.740,1,0
2020-03-11 16:22:04.740,1,0
2020-03-11 16:24:26.000,1,0
2020-03-11 16:24:20.500,1,0
2020-03-11 17:05:36.500,1,0
2020-03-11 17:05:34.500,1,0
2020-03-11 16:22:26.240,1,0
2020-03-11 17:05:21.740,1,0
2020-03-11 16:22:40.740,1,0
2020-03-11 17:05:46.500,1,0
2020-03-11 16:26:36.000,1,0
2020-03-11 16:23:44.240,1,0
2020-03-11 16:25:41.500,1,0
2020-03-11 16:22:09.000,1,0
2020-03-11 16:25:55.740,1,0
2020-03-11 16:22:09.240,1,0
2020-03-11 16:25:11.240,1,0
2020-03-11 16:24:56.500,1,0
2020-03-11 17:05:29.240,1,0
2020-03-11 16:26:13.740,1,0
2020-03-11 17:05:18.740,1,0
2020-03-11 16:26:29.740,1,0
2020-03-11 16:21:43.740,1,0
2020-03-11 16:26:04.740,1,0
