,time,l,r
152,2020-03-11 16:21:59.240,0,1
153,2020-03-11 16:21:59.500,0,1
154,2020-03-11 16:21:59.740,0,1
155,2020-03-11 16:22:00.000,0,1
156,2020-03-11 16:22:00.240,0,1
157,2020-03-11 16:22:00.500,0,1
158,2020-03-11 16:22:00.740,0,1
159,2020-03-11 16:22:01.000,0,1
160,2020-03-11 16:22:01.240,0,1
161,2020-03-11 16:22:01.500,0,1
162,2020-03-11 16:22:01.740,0,1
163,2020-03-11 16:22:02.000,0,1
164,2020-03-11 16:22:02.240,0,1
165,2020-03-11 16:22:02.500,0,1
166,2020-03-11 16:22:02.740,0,1
167,2020-03-11 16:22:03.000,0,1
168,2020-03-11 16:22:03.240,0,1
169,2020-03-11 16:22:03.500,0,1
170,2020-03-11 16:22:03.740,0,1
171,2020-03-11 16:22:04.000,0,1
172,2020-03-11 16:22:04.240,1,1
173,2020-03-11 16:22:04.500,0,1
174,2020-03-11 16:22:04.740,0,0
175,2020-03-11 16:22:05.000,1,1
176,2020-03-11 16:22:05.240,1,1
177,2020-03-11 16:22:05.500,1,1
178,2020-03-11 16:22:05.740,1,1
179,2020-03-11 16:22:06.000,1,1
180,2020-03-11 16:22:06.240,1,1
181,2020-03-11 16:22:06.500,1,1
182,2020-03-11 16:22:06.740,1,1
183,2020-03-11 16:22:07.000,1,1
184,2020-03-11 16:22:07.240,1,0
185,2020-03-11 16:22:07.500,1,1
186,2020-03-11 16:22:07.740,1,1
187,2020-03-11 16:22:08.000,1,1
188,2020-03-11 16:22:08.240,1,1
189,2020-03-11 16:22:08.500,1,1
190,2020-03-11 16:22:08.740,1,1
191,2020-03-11 16:22:09.000,1,1
192,2020-03-11 16:22:09.240,1,1
193,2020-03-11 16:22:09.500,1,1
194,2020-03-11 16:22:09.740,1,1
195,2020-03-11 16:22:10.000,1,1
196,2020-03-11 16:22:10.240,1,1
197,2020-03-11 16:22:10.500,1,1
198,2020-03-11 16:22:10.740,1,1
199,2020-03-11 16:22:11.000,1,1
200,2020-03-11 16:22:11.240,1,1
201,2020-03-11 16:22:11.500,1,1
202,2020-03-11 16:22:11.740,1,1
203,2020-03-11 16:22:12.000,1,1
204,2020-03-11 16:22:12.240,1,1
205,2020-03-11 16:22:12.500,1,1
206,2020-03-11 16:22:12.740,1,1
207,2020-03-11 16:22:13.000,1,1
208,2020-03-11 16:22:13.240,1,1
209,2020-03-11 16:22:13.500,1,1
210,2020-03-11 16:22:13.740,1,1
211,2020-03-11 16:22:14.000,1,1
212,2020-03-11 16:22:14.240,1,1
213,2020-03-11 16:22:14.500,1,1
214,2020-03-11 16:22:14.740,1,1
215,2020-03-11 16:22:15.000,1,1
216,2020-03-11 16:22:15.240,1,1
217,2020-03-11 16:22:15.500,1,1
218,2020-03-11 16:22:15.740,1,0
219,2020-03-11 16:22:16.000,0,1
220,2020-03-11 16:22:16.240,1,1
221,2020-03-11 16:22:16.500,1,1
222,2020-03-11 16:22:16.740,1,0
223,2020-03-11 16:22:17.000,1,1
224,2020-03-11 16:22:17.240,1,1
225,2020-03-11 16:22:17.500,1,1
226,2020-03-11 16:22:17.740,1,1
227,2020-03-11 16:22:18.000,1,1
228,2020-03-11 16:22:18.240,1,1
229,2020-03-11 16:22:18.500,1,1
230,2020-03-11 16:22:18.740,1,0
