time,l,r,iteration
2020-03-11 12:29:27.500,1,1,0
2020-03-11 12:33:27.740,1,0,0
2020-03-11 12:33:58.000,1,1,0
2020-03-11 12:33:32.240,1,1,0
2020-03-11 12:29:16.740,1,1,0
2020-03-11 12:31:43.240,1,1,0
2020-03-11 16:51:18.000,0,0,0
2020-03-11 12:31:47.000,0,1,0
2020-03-11 12:29:38.500,1,1,0
2020-03-11 12:34:24.240,1,1,0
2020-03-11 12:31:57.740,1,1,0
2020-03-11 12:34:32.000,1,1,0
2020-03-11 12:31:37.000,1,1,0
2020-03-11 12:31:07.000,0,1,0
2020-03-11 12:31:40.240,1,1,0
2020-03-11 16:50:50.500,0,0,0
2020-03-11 12:29:23.000,1,1,0
2020-03-11 12:31:36.740,1,1,0
2020-03-11 12:31:59.500,1,1,0
2020-03-11 16:51:02.240,0,0,0
2020-03-11 12:29:17.000,1,1,0
2020-03-11 12:31:02.000,0,1,0
2020-03-11 12:30:57.500,1,1,0
2020-03-11 12:33:46.000,1,1,0
2020-03-11 12:30:43.240,1,1,0
2020-03-11 12:30:28.500,1,1,0
2020-03-11 12:33:15.500,1,1,0
2020-03-11 12:28:48.240,1,1,0
2020-03-11 12:34:32.500,1,1,0
2020-03-11 12:33:48.000,1,1,0
2020-03-11 12:30:00.500,0,1,0
2020-03-11 12:28:40.000,1,0,0
2020-03-11 12:30:09.000,0,1,0
2020-03-11 12:30:30.240,0,1,0
2020-03-11 12:34:22.000,1,1,0
2020-03-11 12:30:04.500,1,1,0
2020-03-11 16:51:04.000,0,0,0
2020-03-11 16:50:51.000,0,0,0
2020-03-11 12:31:52.240,1,1,0
2020-03-11 16:50:47.240,0,0,0
2020-03-11 12:34:03.000,0,1,0
2020-03-11 12:43:56.240,1,1,0
2020-03-11 12:42:51.740,0,1,0
2020-03-11 12:45:52.500,1,1,0
2020-03-11 12:40:31.740,0,1,0
2020-03-11 12:41:31.000,0,1,0
2020-03-11 12:42:36.500,1,1,0
2020-03-11 12:42:45.740,0,1,0
2020-03-11 16:48:32.740,0,0,0
2020-03-11 12:42:16.500,1,1,0
2020-03-11 12:43:24.500,1,1,0
2020-03-11 12:41:56.740,0,1,0
2020-03-11 12:43:14.000,1,1,0
2020-03-11 12:41:27.000,0,1,0
2020-03-11 12:44:15.000,0,1,0
2020-03-11 16:48:46.000,0,0,0
2020-03-11 12:45:15.240,1,1,0
2020-03-11 12:43:32.240,0,1,0
2020-03-11 12:42:49.240,0,1,0
2020-03-11 12:45:14.740,1,1,0
2020-03-11 12:45:44.740,0,1,0
2020-03-11 12:46:26.000,1,1,0
2020-03-11 12:40:42.500,1,1,0
2020-03-11 16:48:32.240,0,0,0
2020-03-11 16:48:59.240,0,0,0
2020-03-11 12:43:23.500,0,1,0
2020-03-11 12:41:31.740,1,1,0
2020-03-11 12:43:34.740,0,1,0
2020-03-11 12:45:20.740,1,1,0
2020-03-11 12:46:20.000,1,1,0
2020-03-11 12:45:23.500,1,1,0
2020-03-11 12:41:16.240,1,1,0
2020-03-11 12:46:00.500,1,1,0
2020-03-11 12:45:33.740,1,1,0
2020-03-11 12:44:36.000,1,1,0
2020-03-11 12:45:27.240,1,1,0
2020-03-11 12:45:21.240,1,1,0
2020-03-11 16:48:48.740,1,0,0
2020-03-11 12:45:33.000,1,1,0
2020-03-11 12:42:57.500,1,1,0
2020-03-11 16:48:56.240,0,0,0
2020-03-11 12:44:01.240,1,1,0
2020-03-11 12:42:16.240,1,1,0
2020-03-11 16:48:55.000,0,0,0
2020-03-11 12:41:55.740,1,1,0
2020-03-11 12:41:25.500,0,1,0
2020-03-11 12:42:36.000,1,1,0
2020-03-11 12:45:41.740,0,1,0
2020-03-11 12:40:40.000,1,1,0
2020-03-11 12:44:36.740,0,1,0
2020-03-11 12:41:30.740,1,1,0
2020-03-11 12:43:09.500,1,1,0
2020-03-11 16:48:14.500,0,0,0
2020-03-11 16:48:18.000,0,0,0
2020-03-11 16:48:49.240,1,0,0
2020-03-11 16:48:07.500,1,0,0
2020-03-11 12:42:05.000,1,1,0
2020-03-11 12:45:59.000,1,1,0
2020-03-11 12:42:28.000,1,1,0
2020-03-11 16:48:21.000,0,0,0
2020-03-11 12:42:31.740,1,1,0
2020-03-11 12:45:52.740,1,1,0
2020-03-11 12:43:33.500,1,1,0
2020-03-11 12:44:28.240,1,1,0
2020-03-11 12:44:03.240,0,1,0
2020-03-11 12:43:21.000,0,1,0
2020-03-11 12:51:44.000,0,1,0
2020-03-11 17:02:24.240,0,0,0
2020-03-11 17:03:07.500,0,0,0
2020-03-11 12:52:14.500,0,0,0
2020-03-11 17:02:24.000,0,0,0
2020-03-11 12:52:59.740,0,1,0
2020-03-11 12:51:01.740,1,1,0
2020-03-11 17:03:04.740,0,1,0
2020-03-11 12:53:38.240,0,1,0
2020-03-11 12:52:05.500,1,1,0
2020-03-11 12:53:44.000,1,1,0
