time,ax_mean,ax_var,ay_mean,ay_var,az_mean,az_var,a2_mean,a2_var,a2_min,a2_max,entropy,subject,task,t_inst,t_maj,t_mid
2020-03-11 12:18:35.000,-0.41029575892857145,0.1314315568833124,-0.8000837053571429,0.0911820616040911,-0.6778041294642857,0.1559741837637765,0.5714285714285714,0.2857142857142857,0.0,1.0,1.9361471539189632,2, ,0,0.0,0
2020-03-11 12:18:35.240,-0.031209309895833332,0.01024811737465136,-0.9978841145833334,0.0028849659544048886,-0.2543131510416667,0.01583636168277625,0.6666666666666666,0.2424242424242425,0.0,1.0,2.4412151490502803,2, ,0,0.0,0
2020-03-11 12:18:35.500,0.05442457932692308,0.07316937507727207,-0.9607872596153846,0.0070853386169824825,-0.3157301682692308,0.23954079701350284,0.23076923076923078,0.19230769230769232,0.0,1.0,2.4881744187187502,2, ,0,0.0,0
2020-03-11 12:18:35.740,0.12101236979166667,0.0021890221220074277,-0.9696044921875,0.00021081079136241567,-0.16080729166666666,0.003370126088460286,0.08333333333333333,0.08333333333333331,0.0,1.0,2.425781443720508,2, ,0,0.0,0
2020-03-11 12:18:36.000,0.10336538461538461,0.0011025025294377252,-0.9664212740384616,0.0009841582713982996,-0.13720703125,0.0011213223139444988,0.15384615384615385,0.14102564102564097,0.0,1.0,2.484971450016716,2, ,0,0.0,0
2020-03-11 12:18:36.240,0.1322021484375,0.0009084669026461514,-0.9908447265625,0.0005955750291997737,-0.08223470052083333,0.0002792730475917007,0.3333333333333333,0.2424242424242425,0.0,1.0,2.4412151490502803,2, ,0,0.0,0
2020-03-11 12:18:36.500,0.11192908653846154,0.0039779008963169195,-0.9548903245192307,0.0008375858649229392,-0.1852088341346154,0.010694360121702537,0.15384615384615385,0.14102564102564102,0.0,1.0,2.484971450016717,2, ,0,0.0,0
2020-03-11 12:18:36.740,0.15755208333333334,0.004238056414055101,-0.9724527994791666,0.0005201191613168427,-0.10282389322916667,0.016119716745434387,0.08333333333333333,0.08333333333333331,0.0,1.0,2.4257814437205076,2, ,0,0.0,0
2020-03-11 12:18:37.000,0.13923527644230768,0.0009078918359218499,-0.9598106971153846,0.000644381229694073,-0.14009915865384615,0.004284280997056227,0.07692307692307693,0.07692307692307694,0.0,1.0,2.5089651356712683,2, ,0,0.0,0
2020-03-11 12:18:37.240,0.048583984375,0.054605288939042526,-0.9571940104166666,0.012665806394634826,-0.2970377604166667,0.09592283133304479,0.45118446353109126,0.3233809962198124,0.0,1.4142135623730951,2.422682537476949,2, ,0,0.0,0
2020-03-11 12:18:37.500,0.14888822115384615,0.0022927308693910255,-0.9707782451923077,0.00045930727934226015,-0.1176006610576923,0.008238706833276994,0.15384615384615385,0.141025641025641,0.0,1.0,2.484971450016716,2, ,0,0.0,0
2020-03-11 12:18:37.740,0.07291666666666667,0.004050962852709221,-0.9459635416666666,0.0006529779145211884,-0.2522379557291667,0.012957029270403313,0.0,0.0,0.0,0.0,2.484906649788001,2, ,0,0.0,0
2020-03-11 12:18:38.000,0.04803936298076923,0.25065722220983255,-0.9183443509615384,0.05909197147075946,-0.25927734375,0.3183146317799886,0.5384615384615384,0.43589743589743596,0.0,2.0,2.5096814485684353,2, ,0,0.0,0
2020-03-11 12:18:38.240,0.0859375,0.006711483001708984,-0.9776204427083334,0.0033134041410503965,-0.2149658203125,0.010373337702317671,0.4166666666666667,0.26515151515151514,0.0,1.0,2.471828189406418,2, ,0,0.0,0
2020-03-11 12:18:38.500,0.08067908653846154,0.00023166949932391825,-0.9877178485576923,0.00015254204089824972,-0.1029522235576923,0.0007083752216436924,0.15384615384615385,0.141025641025641,0.0,1.0,2.484971450016716,2, ,0,0.0,0
2020-03-11 12:18:38.740,0.094482421875,0.0003756393085826527,-0.9696451822916666,0.00013008262171889794,-0.07047526041666667,0.0009253819783528645,0.0,0.0,0.0,0.0,2.484906649788001,2, ,0,0.0,0
2020-03-11 12:18:39.000,0.05055588942307692,0.007816021259014424,-0.9317908653846154,0.0014513486470931613,-0.2493614783653846,0.01703168489994147,0.0,0.0,0.0,0.0,2.564949357461537,2, ,0,0.0,0
2020-03-11 12:18:39.240,0.0902099609375,0.0008173476565967907,-0.9850260416666666,0.0014517668521765504,-0.1370849609375,0.0005341063846241344,0.3333333333333333,0.2424242424242425,0.0,1.0,2.4412151490502803,2, ,0,0.0,0
2020-03-11 12:18:39.500,0.03714693509615385,4.710600926325872e-05,-0.9824969951923077,0.00011491164183005312,-0.020282451923076924,4.19463866796249e-05,0.0,0.0,0.0,0.0,2.564949357461537,2, ,0,0.0,0
2020-03-11 12:18:39.740,0.07173665364583333,0.00028573202364372486,-0.9852701822916666,0.0002961519992712772,-0.011271158854166666,0.0002220092397747618,0.16666666666666666,0.15151515151515155,0.0,1.0,2.4037083290116517,2, ,0,0.0,0
2020-03-11 12:18:40.000,0.10445462740384616,0.000806111555833083,-0.9712289663461539,0.0002945050215109801,-0.05487530048076923,0.0006142671291644756,0.15384615384615385,0.14102564102564105,0.0,1.0,2.484971450016717,2, ,0,0.0,0
2020-03-11 12:18:40.240,0.08097330729166667,0.0008050239447391394,-0.9916585286458334,0.0003550901557459976,-0.014933268229166666,0.00012781222661336264,0.4166666666666667,0.26515151515151514,0.0,1.0,2.4718281894064176,2, ,0,0.0,0
2020-03-11 12:18:40.500,0.17296424278846154,5.456423148130759e-05,-0.9159405048076923,0.001334820038233048,-0.10723407451923077,0.0007917697613055891,0.0,0.0,0.0,0.0,2.564949357461537,2, ,0,0.0,0
