,true positive,false positive,false negative,true negative,accuracy,gwets ac1 score,sensitivity,specificity,precision,f1 score,balanced accuracy,subject,method
0,0.7197696737044146,0.09468969929622521,0.03390914907229686,0.15163147792706333,0.8714011516314779,0.8055629050540721,0.9550084889643463,0.6155844155844156,0.8837391987431266,0.9179926560587516,0.7852964522743809,1,rinter
0,0.7298969072164948,0.11804123711340206,0.028350515463917526,0.12371134020618557,0.8536082474226804,0.7858926012168088,0.9626104690686608,0.511727078891258,0.860790273556231,0.9088575096277277,0.7371687739799594,2,rinter
0,0.7715213860314023,0.05414185165132648,0.023280996210070383,0.15105576610720087,0.9225771521386031,0.8881962442258545,0.9707084468664849,0.7361477572559366,0.9344262295081968,0.9522218509856331,0.8534281020612108,3,rinter
0,0.7512983266012695,0.05943450663589152,0.01788805539526832,0.1713791113675707,0.9226774379688402,0.8842741933474431,0.9767441860465117,0.7424999999999999,0.9266903914590747,0.9510591672753835,0.8596220930232559,4,rinter
0,0.7685185185185185,0.06666666666666667,0.028395061728395062,0.13641975308641976,0.9049382716049382,0.864153754339805,0.9643687064291248,0.6717325227963525,0.9201773835920177,0.9417549167927384,0.8180506146127386,5,rinter
0,0.6338823529411765,0.1068235294117647,0.04094117647058824,0.21835294117647058,0.852235294117647,0.747984727628994,0.9393305439330544,0.6714905933429812,0.8557814485387548,0.8956117021276596,0.8054105686380177,6,rinter
0,0.7692702980472764,0.11151079136690648,0.026207605344295993,0.09301130524152107,0.8622816032887974,0.8109985337317793,0.9670542635658914,0.4547738693467337,0.8733955659276547,0.917841814837523,0.7109140664563125,7,rinter
0,0.7311385459533608,0.10653863740283494,0.02423411065386374,0.13808870598994055,0.8692272519433013,0.8065074155730901,0.9679176755447942,0.5644859813084112,0.8728165938864628,0.9179104477611939,0.7662018284266028,8,rinter
0,0.5490458654168061,0.04720455306327419,0.011382658185470372,0.3923669233344493,0.9414127887512553,0.8856330896853395,0.979689366786141,0.8926123381568926,0.9208309938236945,0.9493487698986975,0.9361508524715167,9,rinter
0,0.6900269541778976,0.15417789757412398,0.02587601078167116,0.1299191374663073,0.819946091644205,0.7258870941695982,0.9638554216867471,0.45730550284629984,0.8173690932311622,0.8845888044229441,0.7105804622665235,10,rinter
0,0.4389776357827476,0.19361022364217254,0.10095846645367412,0.26645367412140575,0.7054313099041534,0.42789116320563025,0.8130177514792899,0.5791666666666667,0.693939393939394,0.7487738419618528,0.6960922090729783,1,linter
0,0.5484037075180227,0.10556127703398559,0.1611740473738414,0.18486096807415037,0.733264675592173,0.5288041594454073,0.7728592162554427,0.6365248226950354,0.8385826771653544,0.8043806646525682,0.7046920194752391,2,linter
0,0.5420875420875421,0.2143658810325477,0.04882154882154882,0.1947250280583614,0.7368125701459034,0.5302995348000734,0.9173789173789174,0.4759945130315501,0.7166172106824925,0.8046647230320699,0.6966867152052337,3,linter
0,0.5600920069005175,0.18746405980448533,0.07648073605520414,0.17596319723979298,0.7360552041403106,0.539987522854356,0.879855465221319,0.48417721518987344,0.7492307692307693,0.8093061902783549,0.6820163402055962,4,linter
0,0.5283251231527094,0.17549261083743842,0.07142857142857142,0.22475369458128078,0.7530788177339902,0.5478278379058648,0.8809034907597536,0.5615384615384615,0.7506561679790027,0.8105810108644309,0.7212209761491075,5,linter
0,0.5056444026340545,0.10724365004703669,0.1462841015992474,0.24082784571966134,0.7464722483537158,0.5261729495156449,0.7756132756132755,0.6918918918918918,0.8250191864927091,0.7995537374488657,0.7337525837525837,6,linter
0,0.4427966101694915,0.18697033898305085,0.15889830508474576,0.21133474576271186,0.6541313559322034,0.34343776735694964,0.7359154929577465,0.5305851063829787,0.7031118587047939,0.7191397849462365,0.6332502996703626,7,linter
0,0.6261384335154827,0.1407103825136612,0.08424408014571949,0.1489071038251366,0.7750455373406193,0.6335499736518532,0.8814102564102564,0.5141509433962265,0.8165083135391924,0.8477188655980271,0.6977805999032414,8,linter
0,0.3501841312353532,0.044861064613324404,0.08235687981252092,0.5225979243388015,0.8727820555741547,0.7529092580551133,0.8095975232198143,0.9209439528023599,0.8864406779661017,0.8462783171521036,0.8652707380110871,9,linter
0,0.47906197654941374,0.21887213847012843,0.1328866554997208,0.16917922948073702,0.6482412060301508,0.35812038890623965,0.7828467153284672,0.4359712230215827,0.6864,0.7314578005115089,0.609408969175025,10,linter
0,0.2631016042780749,0.253475935828877,0.11764705882352941,0.3657754010695187,0.6288770053475936,0.26549707337558487,0.6910112359550562,0.5906735751295337,0.5093167701863354,0.5864123957091775,0.640842405542295,1,uinter
0,0.3207190160832545,0.31125827814569534,0.11258278145695365,0.2554399243140965,0.576158940397351,0.15591483141861487,0.740174672489083,0.4507512520868114,0.5074850299401197,0.6021314387211367,0.5954629622879472,2,uinter
0,0.5901960784313726,0.13529411764705881,0.09477124183006536,0.17973856209150327,0.7699346405228759,0.6062127369589411,0.8616412213740459,0.5705394190871369,0.8135135135135135,0.8368860055607045,0.7160903202305914,3,uinter
0,0.5038932146829811,0.07341490545050056,0.12458286985539488,0.29810901001112344,0.8020022246941045,0.6200924472891387,0.8017699115044248,0.8023952095808383,0.8728323699421965,0.8357933579335793,0.8020825605426316,4,uinter
0,0.04692737430167598,0.16424581005586592,0.034636871508379886,0.7541899441340782,0.8011173184357542,0.7348620387213598,0.5753424657534246,0.8211678832116789,0.2222222222222222,0.32061068702290074,0.6982551744825518,5,uinter
