,true positive,false positive,false negative,true negative,accuracy,gwets ac1 score,sensitivity,specificity,precision,f1 score,balanced accuracy,subject,method,iteration,youden,type
0,0.7,0.16,0.06,0.08,0.7799999999999999,0.6821727824328228,0.9210526315789473,0.33333333333333337,0.813953488372093,0.8641975308641974,0.6271929824561404,1,full,0.0,0.2543859649122808,control intra
0,0.782608695652174,0.043478260869565216,0.0,0.17391304347826086,0.9565217391304348,0.9365517241379311,1.0,0.8,0.9473684210526316,0.972972972972973,0.9,1,full,1.0,0.8,control intra
0,0.7068965517241379,0.15517241379310345,0.017241379310344827,0.1206896551724138,0.8275862068965517,0.743362831858407,0.9761904761904762,0.4375,0.8200000000000001,0.8913043478260871,0.7068452380952381,1,full,2.0,0.4136904761904763,control intra
0,0.7592592592592593,0.1111111111111111,0.0,0.12962962962962962,0.888888888888889,0.8408644400785855,1.0,0.5384615384615384,0.8723404255319148,0.9318181818181818,0.7692307692307692,1,full,3.0,0.5384615384615383,control intra
0,0.71875,0.109375,0.015625,0.15625,0.875,0.8100890207715133,0.9787234042553191,0.5882352941176471,0.8679245283018868,0.9199999999999999,0.7834793491864831,1,full,4.0,0.5669586983729662,control intra
0,0.9024390243902439,0.024390243902439025,0.0,0.07317073170731707,0.975609756097561,0.9710962284102925,1.0,0.7499999999999999,0.9736842105263158,0.9866666666666666,0.875,1,full,5.0,0.75,control intra
0,0.7746478873239436,0.14084507042253522,0.014084507042253521,0.07042253521126761,0.8450704225352113,0.7928656676833311,0.9821428571428572,0.33333333333333337,0.8461538461538461,0.9090909090909091,0.6577380952380953,1,full,6.0,0.3154761904761907,control intra
0,0.6875,0.15625,0.015625,0.140625,0.828125,0.7353880849464386,0.9777777777777777,0.47368421052631576,0.8148148148148148,0.8888888888888888,0.7257309941520468,1,full,7.0,0.45146198830409356,control intra
0,0.7678571428571429,0.08928571428571429,0.017857142857142856,0.125,0.8928571428571429,0.848375451263538,0.9772727272727272,0.5833333333333333,0.8958333333333334,0.9347826086956521,0.7803030303030303,1,full,8.0,0.5606060606060606,control intra
0,0.6885245901639344,0.09836065573770492,0.03278688524590164,0.18032786885245902,0.8688524590163934,0.7915420760358821,0.9545454545454545,0.6470588235294118,0.875,0.9130434782608695,0.8008021390374331,1,full,9.0,0.6016042780748663,control intra
0,0.7647058823529411,0.10588235294117647,0.023529411764705882,0.10588235294117647,0.8705882352941176,0.8195154907827427,0.9701492537313432,0.5,0.8783783783783784,0.9219858156028369,0.7350746268656716,2,full,0.0,0.4701492537313432,control intra
0,0.7746478873239436,0.11267605633802817,0.0,0.11267605633802817,0.8873239436619718,0.8433103448275862,1.0,0.5,0.873015873015873,0.9322033898305084,0.75,2,full,1.0,0.5,control intra
0,0.7435897435897436,0.0641025641025641,0.01282051282051282,0.1794871794871795,0.9230769230769231,0.8832917705735661,0.9830508474576272,0.736842105263158,0.9206349206349207,0.9508196721311476,0.8599464763603926,2,full,2.0,0.7198929527207851,control intra
0,0.7088607594936709,0.13924050632911392,0.0,0.1518987341772152,0.8607594936708861,0.7874526109820228,1.0,0.5217391304347826,0.8358208955223881,0.9105691056910569,0.7608695652173914,2,full,3.0,0.5217391304347827,control intra
0,0.7931034482758621,0.06896551724137931,0.0,0.13793103448275862,0.9310344827586208,0.9034941763727122,1.0,0.6666666666666666,0.9199999999999999,0.9583333333333333,0.8333333333333333,2,full,4.0,0.6666666666666665,control intra
0,0.8148148148148148,0.04938271604938271,0.0,0.13580246913580246,0.9506172839506173,0.9324014187356562,1.0,0.7333333333333333,0.9428571428571428,0.9705882352941176,0.8666666666666667,2,full,5.0,0.7333333333333334,control intra
0,0.7571428571428571,0.05714285714285714,0.04285714285714286,0.14285714285714285,0.8999999999999999,0.8547933027115127,0.9464285714285715,0.7142857142857143,0.9298245614035088,0.9380530973451329,0.8303571428571429,2,full,6.0,0.6607142857142858,control intra
0,0.7936507936507936,0.015873015873015872,0.0,0.19047619047619047,0.9841269841269841,0.9767227046000369,1.0,0.9230769230769231,0.9803921568627451,0.99009900990099,0.9615384615384616,2,full,7.0,0.9230769230769231,control intra
0,0.717948717948718,0.05128205128205128,0.01282051282051282,0.21794871794871795,0.9358974358974359,0.8974358974358975,0.9824561403508772,0.8095238095238095,0.9333333333333332,0.9572649572649572,0.8959899749373434,2,full,8.0,0.7919799498746869,control intra
0,0.75,0.0375,0.025,0.1875,0.9375,0.9050445103857567,0.9677419354838709,0.8333333333333333,0.9523809523809524,0.96,0.900537634408602,2,full,9.0,0.801075268817204,control intra
0,0.7910447761194029,0.04477611940298507,0.0,0.16417910447761194,0.9552238805970149,0.935710858787782,1.0,0.7857142857142857,0.9464285714285714,0.9724770642201834,0.8928571428571428,3,full,0.0,0.7857142857142856,control intra
0,0.7692307692307693,0.038461538461538464,0.05128205128205128,0.14102564102564102,0.9102564102564104,0.871302298173247,0.9375,0.7857142857142857,0.9523809523809524,0.9448818897637795,0.8616071428571428,3,full,1.0,0.7232142857142856,control intra
0,0.7241379310344828,0.011494252873563218,0.0,0.26436781609195403,0.9885057471264368,0.9810230123241359,1.0,0.9583333333333334,0.984375,0.9921259842519685,0.9791666666666667,3,full,2.0,0.9583333333333335,control intra
0,0.6753246753246753,0.1038961038961039,0.0,0.22077922077922077,0.8961038961038961,0.8277886497064579,1.0,0.6799999999999999,0.8666666666666666,0.9285714285714285,0.84,3,full,3.0,0.6799999999999999,control intra
