time,l,r,iteration
2019-11-25 16:55:20.740,0,1,0
2019-11-25 16:50:59.000,1,1,0
2019-11-25 17:00:34.740,0,1,0
2019-11-25 16:53:10.000,0,1,0
2019-11-25 16:59:31.000,0,1,0
2019-11-25 17:00:38.740,0,1,0
2019-11-25 16:51:12.740,0,1,0
2019-11-25 16:53:17.500,1,1,0
2019-11-25 16:57:55.240,1,1,0
2019-11-25 16:53:21.740,1,1,0
2019-11-25 16:55:12.240,0,1,0
2019-11-25 16:47:14.000,0,1,0
2019-11-25 16:50:52.500,0,1,0
2019-11-25 16:58:35.000,0,1,0
2019-11-26 16:56:32.500,0,1,0
2019-11-26 16:52:18.240,1,1,0
2019-11-26 16:57:38.240,1,1,0
2019-11-26 16:54:43.000,1,1,0
2019-11-26 16:53:13.000,0,1,0
2019-11-26 16:51:17.000,1,0,0
2019-11-26 16:56:51.740,1,1,0
2019-11-26 16:53:45.000,0,0,0
2019-11-26 16:56:32.240,1,1,0
2019-11-26 16:57:07.740,1,1,0
2019-11-26 16:55:34.500,0,0,0
2019-11-26 16:54:42.000,1,1,0
2019-11-26 16:52:05.500,1,1,0
2019-11-26 16:54:12.000,1,1,0
2019-11-26 16:51:39.500,0,1,0
2019-11-26 16:52:11.000,0,1,0
2019-11-26 16:57:22.000,0,1,0
2019-11-26 16:56:30.740,1,1,0
2019-11-26 16:51:57.000,1,0,0
2019-11-26 16:56:02.740,0,0,0
2019-11-26 16:51:20.500,1,0,0
2019-11-26 16:54:48.000,1,1,0
2019-11-26 16:56:48.740,1,1,0
2019-11-26 16:51:25.240,1,0,0
2019-11-26 16:57:33.740,1,1,0
2019-11-26 16:55:48.000,0,0,0
2019-11-26 16:55:01.000,1,1,0
2019-11-26 16:55:05.000,1,1,0
2019-11-26 16:52:03.740,1,1,0
2019-11-26 16:57:28.500,1,1,0
2019-11-26 16:56:07.000,1,0,0
2019-11-26 16:56:56.000,0,1,0
2019-11-26 16:55:13.500,1,1,0
2019-11-26 16:57:11.000,1,1,0
