time,l,r
2019-11-15 16:31:57.740,0,1
2019-11-15 16:31:58.000,0,1
2019-11-15 16:31:58.240,0,1
2019-11-15 16:31:58.500,0,1
2019-11-15 16:31:58.740,0,1
2019-11-15 16:31:59.000,0,1
2019-11-15 16:31:59.240,0,1
2019-11-15 16:31:59.500,0,1
2019-11-15 16:31:59.740,0,1
2019-11-15 16:32:00.000,0,1
2019-11-15 16:32:00.240,0,1
2019-11-15 16:32:00.500,0,1
2019-11-15 16:32:00.740,0,1
2019-11-15 16:32:01.000,0,1
2019-11-15 16:32:01.240,0,1
2019-11-15 16:32:01.500,0,1
2019-11-15 16:32:01.740,0,1
2019-11-15 16:32:02.000,0,1
2019-11-15 16:32:02.240,0,1
2019-11-15 16:32:02.500,0,1
2019-11-15 16:32:02.740,0,1
2019-11-15 16:32:03.000,0,1
2019-11-15 16:32:03.240,0,1
2019-11-15 16:32:03.500,0,1
2019-11-15 16:32:03.740,0,1
2019-11-15 16:32:04.000,0,1
2019-11-15 16:32:04.240,0,1
2019-11-15 16:32:04.500,0,1
2019-11-15 16:32:04.740,0,1
2019-11-15 16:32:05.000,0,1
2019-11-15 16:32:05.240,0,1
2019-11-15 16:32:05.500,0,1
2019-11-15 16:32:05.740,0,1
2019-11-15 16:32:06.000,0,1
2019-11-15 16:32:06.240,0,1
2019-11-15 16:32:06.500,0,0
2019-11-15 16:32:06.740,0,1
2019-11-15 16:32:07.000,0,1
2019-11-15 16:32:07.240,0,1
2019-11-15 16:32:07.500,0,0
2019-11-15 16:32:07.740,0,1
2019-11-15 16:32:08.000,0,1
2019-11-15 16:32:08.240,0,1
2019-11-15 16:32:08.500,0,0
2019-11-15 16:32:08.740,0,1
2019-11-15 16:32:09.000,0,1
2019-11-15 16:32:09.240,0,1
2019-11-15 16:32:09.500,0,1
2019-11-15 16:32:09.740,0,1
2019-11-15 16:32:10.000,0,1
2019-11-15 16:32:10.240,0,1
2019-11-15 16:32:10.500,0,1
2019-11-15 16:32:10.740,0,1
2019-11-15 16:32:11.000,0,1
2019-11-15 16:32:11.240,0,1
2019-11-15 16:32:11.500,0,1
2019-11-15 16:32:11.740,0,1
2019-11-15 16:32:12.000,0,1
2019-11-15 16:32:12.240,0,1
2019-11-15 16:32:12.500,0,1
2019-11-15 16:32:12.740,0,1
2019-11-15 16:32:13.000,0,1
2019-11-15 16:32:13.240,0,1
2019-11-15 16:32:13.500,0,1
2019-11-15 16:32:13.740,0,1
2019-11-15 16:32:14.000,0,1
2019-11-15 16:32:14.240,0,0
