time,l,iteration
2019-11-25 16:53:24.500,0,0
2019-11-25 16:58:29.500,1,0
2019-11-25 16:56:14.240,0,0
2019-11-25 16:56:42.740,0,0
2019-11-25 16:58:23.000,0,0
2019-11-25 16:55:23.000,0,0
2019-11-25 16:56:59.000,1,0
2019-11-25 16:50:20.500,0,0
2019-11-25 16:58:49.240,0,0
2019-11-25 16:54:15.740,0,0
2019-11-25 16:53:14.740,1,0
2019-11-25 16:50:16.500,0,0
2019-11-25 16:48:48.240,1,0
2019-11-25 16:47:46.500,1,0
2019-11-25 16:55:20.000,0,0
2019-11-25 16:54:17.000,0,0
2019-11-25 16:47:47.000,0,0
2019-11-25 16:59:53.240,0,0
2019-11-25 16:49:04.000,1,0
2019-11-25 16:47:44.000,0,0
2019-11-25 16:54:39.740,0,0
2019-11-25 17:00:31.000,0,0
2019-11-25 16:50:17.000,0,0
2019-11-25 16:52:59.240,0,0
2019-11-25 16:59:50.000,0,0
2019-11-25 17:00:34.500,0,0
2019-11-25 16:58:27.740,1,0
2019-11-25 16:54:20.740,0,0
2019-11-25 16:56:15.240,0,0
2019-11-25 16:54:29.240,1,0
2019-11-25 16:52:50.740,1,0
2019-11-25 16:57:24.500,1,0
2019-11-25 16:57:02.740,0,0
2019-11-25 16:58:41.500,0,0
2019-11-25 16:57:55.240,0,0
2019-11-25 16:55:47.240,0,0
2019-11-25 16:49:44.240,0,0
2019-11-25 16:55:08.000,0,0
2019-11-25 16:55:00.240,1,0
2019-11-25 17:00:49.000,0,0
2019-11-25 16:48:07.500,0,0
2019-11-25 16:47:38.500,0,0
2019-11-25 16:52:35.500,1,0
2019-11-25 16:57:25.000,0,0
2019-11-25 17:00:31.240,0,0
2019-11-25 16:53:18.740,1,0
2019-11-25 16:57:51.500,0,0
2019-11-25 16:55:05.240,1,0
2019-11-25 16:50:16.740,0,0
2019-11-25 16:47:30.000,0,0
2019-11-25 16:47:43.000,0,0
2019-11-25 16:57:02.000,0,0
2019-11-25 16:47:10.500,0,0
2019-11-25 16:52:37.000,1,0
2019-11-25 16:59:51.740,0,0
