,time,l,r
111,2019-11-15 16:32:12.900,0.0,1.0
112,2019-11-15 16:32:13.400,0.0,0.0
113,2019-11-15 16:32:13.900,0.0,0.0
114,2019-11-15 16:32:14.400,0.0,0.0
115,2019-11-15 16:32:14.900,0.0,0.0
116,2019-11-15 16:32:15.400,0.0,0.0
117,2019-11-15 16:32:15.900,0.0,0.0
118,2019-11-15 16:32:16.400,0.0,1.0
119,2019-11-15 16:32:16.900,0.0,1.0
120,2019-11-15 16:32:17.400,0.0,1.0
121,2019-11-15 16:32:17.900,0.0,1.0
122,2019-11-15 16:32:18.400,0.0,1.0
123,2019-11-15 16:32:18.900,0.0,0.0
124,2019-11-15 16:32:19.400,0.0,1.0
125,2019-11-15 16:32:19.900,0.0,1.0
126,2019-11-15 16:32:20.400,0.0,1.0
127,2019-11-15 16:32:20.900,0.0,1.0
128,2019-11-15 16:32:21.400,1.0,1.0
129,2019-11-15 16:32:21.900,0.0,1.0
130,2019-11-15 16:32:22.400,0.0,1.0
131,2019-11-15 16:32:22.900,0.0,1.0
132,2019-11-15 16:32:23.400,0.0,1.0
133,2019-11-15 16:32:23.900,0.0,1.0
134,2019-11-15 16:32:24.400,0.0,1.0
135,2019-11-15 16:32:24.900,0.0,1.0
136,2019-11-15 16:32:25.400,0.0,1.0
137,2019-11-15 16:32:25.900,0.0,1.0
138,2019-11-15 16:32:26.400,0.0,1.0
139,2019-11-15 16:32:26.900,0.0,1.0
140,2019-11-15 16:32:27.400,0.0,1.0
141,2019-11-15 16:32:27.900,0.0,1.0
142,2019-11-15 16:32:28.400,0.0,0.0
143,2019-11-15 16:32:28.900,0.0,0.0
144,2019-11-15 16:32:29.400,0.0,1.0
145,2019-11-15 16:32:29.900,0.0,1.0
146,2019-11-15 16:32:30.400,0.0,1.0
147,2019-11-15 16:32:30.900,0.0,1.0
148,2019-11-15 16:32:31.400,0.0,1.0
149,2019-11-15 16:32:31.900,0.0,1.0
150,2019-11-15 16:32:32.400,0.0,1.0
151,2019-11-15 16:32:32.900,0.0,1.0
152,2019-11-15 16:32:33.400,0.0,1.0
153,2019-11-15 16:32:33.900,0.0,1.0
154,2019-11-15 16:32:34.400,0.0,1.0
155,2019-11-15 16:32:34.900,0.0,1.0
156,2019-11-15 16:32:35.400,0.0,1.0
157,2019-11-15 16:32:35.900,0.0,1.0
158,2019-11-15 16:32:36.400,0.0,1.0
159,2019-11-15 16:32:36.900,0.0,1.0
160,2019-11-15 16:32:37.400,0.0,1.0
161,2019-11-15 16:32:37.900,0.0,1.0
162,2019-11-15 16:32:38.400,0.0,1.0
163,2019-11-15 16:32:38.900,0.0,1.0
164,2019-11-15 16:32:39.400,0.0,1.0
165,2019-11-15 16:32:39.900,0.0,1.0
166,2019-11-15 16:32:40.400,0.0,1.0
167,2019-11-15 16:32:40.900,0.0,1.0
168,2019-11-15 16:32:41.400,0.0,1.0
169,2019-11-15 16:32:41.900,0.0,0.0
170,2019-11-15 16:32:42.400,0.0,0.0
171,2019-11-15 16:32:42.900,0.0,0.0
172,2019-11-15 16:32:43.400,0.0,0.0
173,2019-11-15 16:32:43.900,0.0,0.0
174,2019-11-15 16:32:44.400,0.0,0.0
175,2019-11-15 16:32:44.900,0.0,0.0
176,2019-11-15 16:32:45.400,0.0,0.0
177,2019-11-15 16:32:45.900,0.0,0.0
178,2019-11-15 16:32:46.400,0.0,0.0
179,2019-11-15 16:32:46.900,1.0,0.0
180,2019-11-15 16:32:47.400,1.0,0.0
181,2019-11-15 16:32:47.900,1.0,0.0
182,2019-11-15 16:32:48.400,1.0,0.0
183,2019-11-15 16:32:48.900,1.0,0.0
184,2019-11-15 16:32:49.400,0.0,0.0
185,2019-11-15 16:32:49.900,0.0,0.0
186,2019-11-15 16:32:50.400,0.0,0.0
187,2019-11-15 16:32:50.900,0.0,0.0
188,2019-11-15 16:32:51.400,0.0,0.0
189,2019-11-15 16:32:51.900,0.0,0.0
190,2019-11-15 16:32:52.400,0.0,0.0
191,2019-11-15 16:32:52.900,1.0,0.0
192,2019-11-15 16:32:53.400,1.0,0.0
193,2019-11-15 16:32:53.900,0.0,0.0
194,2019-11-15 16:32:54.400,1.0,0.0
195,2019-11-15 16:32:54.900,1.0,0.0
196,2019-11-15 16:32:55.400,1.0,0.0
197,2019-11-15 16:32:55.900,1.0,0.0
198,2019-11-15 16:32:56.400,1.0,0.0
199,2019-11-15 16:32:56.900,1.0,0.0
200,2019-11-15 16:32:57.400,0.0,0.0
201,2019-11-15 16:32:57.900,1.0,0.0
202,2019-11-15 16:32:58.400,1.0,0.0
203,2019-11-15 16:32:58.900,1.0,0.0
204,2019-11-15 16:32:59.400,1.0,0.0
205,2019-11-15 16:32:59.900,1.0,0.0
206,2019-11-15 16:33:00.400,1.0,0.0
207,2019-11-15 16:33:00.900,1.0,0.0
208,2019-11-15 16:33:01.400,1.0,0.0
209,2019-11-15 16:33:01.900,0.0,0.0
210,2019-11-15 16:33:02.400,0.0,0.0
211,2019-11-15 16:33:02.900,0.0,0.0
212,2019-11-15 16:33:03.400,0.0,0.0
213,2019-11-15 16:33:03.900,0.0,0.0
214,2019-11-15 16:33:04.400,0.0,0.0
215,2019-11-15 16:33:04.900,0.0,0.0
216,2019-11-15 16:33:14.200,0.0,0.0
217,2019-11-15 16:33:14.700,0.0,0.0
218,2019-11-15 16:33:15.200,0.0,0.0
219,2019-11-15 16:33:15.700,0.0,0.0
220,2019-11-15 16:33:16.200,0.0,0.0
221,2019-11-15 16:33:16.700,0.0,1.0
222,2019-11-15 16:33:17.200,0.0,1.0
223,2019-11-15 16:33:17.700,0.0,1.0
224,2019-11-15 16:33:18.200,0.0,0.0
225,2019-11-15 16:33:18.700,0.0,0.0
226,2019-11-15 16:33:19.200,0.0,0.0
227,2019-11-15 16:33:19.700,0.0,0.0
228,2019-11-15 16:33:20.200,0.0,0.0
229,2019-11-15 16:33:20.700,0.0,0.0
230,2019-11-15 16:33:21.200,0.0,0.0
231,2019-11-15 16:33:21.700,0.0,0.0
232,2019-11-15 16:33:22.200,0.0,0.0
233,2019-11-15 16:33:22.700,0.0,0.0
234,2019-11-15 16:33:23.200,0.0,0.0
235,2019-11-15 16:33:23.700,0.0,0.0
236,2019-11-15 16:33:24.200,0.0,0.0
237,2019-11-15 16:33:24.700,0.0,0.0
238,2019-11-15 16:33:25.200,0.0,0.0
239,2019-11-15 16:33:25.700,0.0,0.0
240,2019-11-15 16:33:26.200,0.0,0.0
241,2019-11-15 16:33:26.700,0.0,0.0
242,2019-11-15 16:33:27.200,0.0,0.0
243,2019-11-15 16:33:27.700,0.0,0.0
244,2019-11-15 16:33:28.200,0.0,0.0
245,2019-11-15 16:33:28.700,0.0,
246,2019-11-15 16:33:29.200,0.0,0.0
247,2019-11-15 16:33:29.700,0.0,0.0
248,2019-11-15 16:33:30.200,0.0,0.0
249,2019-11-15 16:33:30.700,0.0,0.0
250,2019-11-15 16:33:31.200,0.0,0.0
251,2019-11-15 16:33:31.700,0.0,0.0
252,2019-11-15 16:33:32.200,0.0,0.0
253,2019-11-15 16:33:32.700,0.0,0.0
254,2019-11-15 16:33:33.200,0.0,1.0
255,2019-11-15 16:33:33.700,0.0,1.0
256,2019-11-15 16:33:34.200,0.0,1.0
257,2019-11-15 16:33:34.700,0.0,0.0
258,2019-11-15 16:33:35.200,0.0,0.0
259,2019-11-15 16:33:35.700,0.0,0.0
260,2019-11-15 16:33:36.200,0.0,0.0
261,2019-11-15 16:33:36.700,0.0,0.0
262,2019-11-15 16:33:37.200,0.0,1.0
263,2019-11-15 16:33:37.700,0.0,0.0
264,2019-11-15 16:33:38.200,0.0,0.0
265,2019-11-15 16:33:38.700,0.0,0.0
266,2019-11-15 16:33:39.200,0.0,0.0
267,2019-11-15 16:33:39.700,0.0,0.0
268,2019-11-15 16:33:40.200,0.0,0.0
269,2019-11-15 16:33:40.700,0.0,0.0
270,2019-11-15 16:33:41.200,0.0,0.0
271,2019-11-15 16:33:41.700,0.0,0.0
272,2019-11-15 16:33:42.200,0.0,0.0
273,2019-11-15 16:33:42.700,0.0,0.0
274,2019-11-15 16:33:43.200,0.0,0.0
275,2019-11-15 16:33:43.700,0.0,1.0
276,2019-11-15 16:33:44.200,0.0,1.0
277,2019-11-15 16:33:44.700,0.0,1.0
278,2019-11-15 16:33:45.200,0.0,0.0
279,2019-11-15 16:33:45.700,0.0,0.0
280,2019-11-15 16:33:46.200,0.0,0.0
281,2019-11-15 16:33:46.700,0.0,0.0
282,2019-11-15 16:33:47.200,0.0,0.0
283,2019-11-15 16:33:47.700,0.0,0.0
284,2019-11-15 16:33:48.200,0.0,0.0
285,2019-11-15 16:33:48.700,0.0,0.0
286,2019-11-15 16:33:49.200,0.0,0.0
287,2019-11-15 16:33:49.700,0.0,0.0
288,2019-11-15 16:33:50.200,0.0,0.0
289,2019-11-15 16:33:50.700,0.0,0.0
290,2019-11-15 16:33:51.200,0.0,0.0
291,2019-11-15 16:33:51.700,0.0,0.0
292,2019-11-15 16:33:52.200,0.0,0.0
293,2019-11-15 16:33:52.700,0.0,0.0
294,2019-11-15 16:33:53.200,0.0,0.0
295,2019-11-15 16:33:53.700,0.0,0.0
296,2019-11-15 16:33:54.200,0.0,0.0
297,2019-11-15 16:33:54.700,0.0,0.0
298,2019-11-15 16:33:55.200,0.0,0.0
299,2019-11-15 16:33:55.700,0.0,0.0
300,2019-11-15 16:33:56.200,0.0,0.0
301,2019-11-15 16:33:56.700,0.0,0.0
302,2019-11-15 16:33:57.200,0.0,0.0
303,2019-11-15 16:33:57.700,0.0,0.0
304,2019-11-15 16:33:58.200,0.0,0.0
305,2019-11-15 16:33:58.700,0.0,0.0
306,2019-11-15 16:33:59.200,0.0,0.0
307,2019-11-15 16:33:59.700,0.0,0.0
308,2019-11-15 16:34:00.200,0.0,0.0
309,2019-11-15 16:34:00.700,0.0,1.0
310,2019-11-15 16:34:01.200,0.0,1.0
311,2019-11-15 16:34:05.840,0.0,1.0
312,2019-11-15 16:34:06.340,0.0,1.0
313,2019-11-15 16:34:06.840,0.0,0.0
314,2019-11-15 16:34:07.340,0.0,0.0
315,2019-11-15 16:34:07.840,0.0,0.0
316,2019-11-15 16:34:08.340,0.0,0.0
317,2019-11-15 16:34:08.840,0.0,0.0
318,2019-11-15 16:34:09.340,0.0,0.0
319,2019-11-15 16:34:09.840,0.0,0.0
320,2019-11-15 16:34:10.340,0.0,0.0
321,2019-11-15 16:34:10.840,0.0,0.0
322,2019-11-15 16:34:11.340,0.0,0.0
323,2019-11-15 16:34:11.840,0.0,0.0
324,2019-11-15 16:34:12.340,0.0,0.0
325,2019-11-15 16:34:12.840,0.0,0.0
326,2019-11-15 16:34:13.340,0.0,0.0
327,2019-11-15 16:34:13.840,0.0,0.0
328,2019-11-15 16:34:14.340,0.0,0.0
329,2019-11-15 16:34:14.840,0.0,1.0
330,2019-11-15 16:34:15.340,0.0,0.0
331,2019-11-15 16:34:15.840,0.0,0.0
332,2019-11-15 16:34:16.340,0.0,0.0
333,2019-11-15 16:34:16.840,1.0,0.0
334,2019-11-15 16:34:17.340,0.0,0.0
335,2019-11-15 16:34:17.840,0.0,0.0
336,2019-11-15 16:34:18.340,0.0,0.0
337,2019-11-15 16:34:18.840,0.0,0.0
338,2019-11-15 16:34:19.340,0.0,0.0
339,2019-11-15 16:34:19.840,0.0,0.0
340,2019-11-15 16:34:20.340,0.0,0.0
341,2019-11-15 16:34:20.840,0.0,0.0
342,2019-11-15 16:34:21.340,1.0,0.0
343,2019-11-15 16:34:21.840,1.0,0.0
344,2019-11-15 16:34:22.340,1.0,0.0
345,2019-11-15 16:34:22.840,1.0,0.0
346,2019-11-15 16:34:23.340,0.0,0.0
347,2019-11-15 16:34:23.840,0.0,0.0
348,2019-11-15 16:34:24.340,0.0,0.0
349,2019-11-15 16:34:24.840,0.0,0.0
350,2019-11-15 16:34:25.340,1.0,0.0
351,2019-11-15 16:34:25.840,1.0,0.0
352,2019-11-15 16:34:26.340,1.0,0.0
353,2019-11-15 16:34:26.840,1.0,0.0
354,2019-11-15 16:34:27.340,0.0,0.0
355,2019-11-15 16:34:27.840,0.0,0.0
356,2019-11-15 16:34:28.340,0.0,0.0
357,2019-11-15 16:34:28.840,0.0,0.0
358,2019-11-15 16:34:29.340,0.0,0.0
359,2019-11-15 16:34:29.840,0.0,0.0
360,2019-11-15 16:34:37.120,0.0,0.0
361,2019-11-15 16:34:37.620,0.0,0.0
362,2019-11-15 16:34:38.120,0.0,0.0
363,2019-11-15 16:34:38.620,0.0,0.0
364,2019-11-15 16:34:39.120,0.0,0.0
365,2019-11-15 16:34:39.620,0.0,0.0
366,2019-11-15 16:34:40.120,0.0,0.0
367,2019-11-15 16:34:40.620,0.0,0.0
368,2019-11-15 16:34:41.120,0.0,0.0
369,2019-11-15 16:34:41.620,0.0,0.0
370,2019-11-15 16:34:42.120,0.0,0.0
371,2019-11-15 16:34:42.620,0.0,0.0
372,2019-11-15 16:34:43.120,0.0,0.0
373,2019-11-15 16:34:43.620,0.0,0.0
374,2019-11-15 16:34:44.120,0.0,0.0
375,2019-11-15 16:34:44.620,0.0,0.0
376,2019-11-15 16:34:45.120,0.0,0.0
377,2019-11-15 16:34:45.620,0.0,0.0
378,2019-11-15 16:34:46.120,0.0,0.0
379,2019-11-15 16:34:46.620,0.0,0.0
380,2019-11-15 16:34:47.120,0.0,0.0
381,2019-11-15 16:34:47.620,0.0,0.0
382,2019-11-15 16:34:48.120,0.0,0.0
383,2019-11-15 16:34:48.620,0.0,0.0
384,2019-11-15 16:34:49.120,0.0,0.0
385,2019-11-15 16:34:49.620,0.0,0.0
386,2019-11-15 16:34:50.120,0.0,0.0
387,2019-11-15 16:34:50.620,0.0,0.0
388,2019-11-15 16:34:51.120,0.0,0.0
389,2019-11-15 16:34:51.620,0.0,0.0
390,2019-11-15 16:34:52.120,0.0,0.0
391,2019-11-15 16:34:52.620,0.0,0.0
392,2019-11-15 16:34:53.120,0.0,0.0
393,2019-11-15 16:34:53.620,0.0,0.0
394,2019-11-15 16:34:54.120,0.0,0.0
395,2019-11-15 16:34:54.620,0.0,0.0
396,2019-11-15 16:34:55.120,0.0,0.0
397,2019-11-15 16:34:55.620,0.0,0.0
398,2019-11-15 16:34:56.120,0.0,0.0
399,2019-11-15 16:34:56.620,0.0,1.0
400,2019-11-15 16:34:57.120,0.0,1.0
401,2019-11-15 16:34:57.620,0.0,1.0
402,2019-11-15 16:34:58.120,0.0,1.0
403,2019-11-15 16:34:58.620,0.0,0.0
404,2019-11-15 16:34:59.120,0.0,0.0
405,2019-11-15 16:34:59.620,0.0,0.0
406,2019-11-15 16:35:00.120,0.0,0.0
407,2019-11-15 16:35:00.620,0.0,0.0
408,2019-11-15 16:35:01.120,0.0,0.0
409,2019-11-15 16:35:01.620,0.0,0.0
410,2019-11-15 16:35:02.120,0.0,0.0
411,2019-11-15 16:35:02.620,0.0,0.0
412,2019-11-15 16:35:03.120,0.0,1.0
413,2019-11-15 16:35:03.620,0.0,1.0
414,2019-11-15 16:35:04.120,0.0,0.0
415,2019-11-15 16:35:04.620,0.0,0.0
416,2019-11-15 16:35:05.120,0.0,0.0
417,2019-11-15 16:35:05.620,0.0,1.0
418,2019-11-15 16:35:06.120,0.0,1.0
419,2019-11-15 16:35:06.620,0.0,1.0
420,2019-11-15 16:35:07.120,0.0,1.0
421,2019-11-15 16:35:07.620,0.0,1.0
422,2019-11-15 16:35:08.120,1.0,1.0
423,2019-11-15 16:35:08.620,1.0,1.0
424,2019-11-15 16:35:09.120,1.0,1.0
425,2019-11-15 16:35:09.620,1.0,1.0
426,2019-11-15 16:35:29.320,1.0,
427,2019-11-15 16:35:29.820,1.0,0.0
428,2019-11-15 16:35:30.320,1.0,0.0
429,2019-11-15 16:35:30.820,1.0,0.0
430,2019-11-15 16:35:31.320,1.0,0.0
431,2019-11-15 16:35:31.820,0.0,0.0
432,2019-11-15 16:35:32.320,0.0,0.0
433,2019-11-15 16:35:32.820,0.0,0.0
434,2019-11-15 16:35:33.320,0.0,0.0
435,2019-11-15 16:35:33.820,0.0,0.0
436,2019-11-15 16:35:34.320,0.0,0.0
437,2019-11-15 16:35:34.820,0.0,0.0
438,2019-11-15 16:35:35.320,0.0,0.0
439,2019-11-15 16:35:35.820,0.0,0.0
440,2019-11-15 16:35:36.320,0.0,0.0
441,2019-11-15 16:35:36.820,0.0,0.0
442,2019-11-15 16:35:37.320,0.0,0.0
443,2019-11-15 16:35:37.820,0.0,0.0
444,2019-11-15 16:35:38.320,0.0,0.0
445,2019-11-15 16:35:38.820,0.0,0.0
446,2019-11-15 16:35:39.760,0.0,0.0
447,2019-11-15 16:35:40.260,0.0,0.0
448,2019-11-15 16:35:40.780,0.0,0.0
449,2019-11-15 16:35:41.880,0.0,0.0
450,2019-11-15 16:35:42.380,0.0,0.0
451,2019-11-15 16:35:44.660,0.0,0.0
452,2019-11-15 16:35:45.160,0.0,1.0
453,2019-11-15 16:35:45.840,0.0,1.0
454,2019-11-15 16:35:46.340,0.0,1.0
455,2019-11-15 16:35:46.840,0.0,0.0
456,2019-11-15 16:35:47.340,0.0,0.0
457,2019-11-15 16:35:48.480,0.0,0.0
458,2019-11-15 16:35:48.980,0.0,0.0
459,2019-11-25 16:47:01.420,0.0,0.0
460,2019-11-25 16:47:01.920,0.0,0.0
461,2019-11-25 16:47:02.420,0.0,0.0
462,2019-11-25 16:47:02.920,0.0,0.0
463,2019-11-25 16:47:03.420,0.0,0.0
464,2019-11-25 16:47:03.920,0.0,0.0
465,2019-11-25 16:47:04.420,0.0,0.0
466,2019-11-25 16:47:04.920,0.0,0.0
467,2019-11-25 16:47:05.420,0.0,0.0
468,2019-11-25 16:47:05.920,0.0,0.0
469,2019-11-25 16:47:06.420,0.0,0.0
470,2019-11-25 16:47:06.920,0.0,0.0
471,2019-11-25 16:47:07.420,0.0,0.0
472,2019-11-25 16:47:07.920,0.0,1.0
473,2019-11-25 16:47:08.420,0.0,1.0
474,2019-11-25 16:47:08.920,0.0,1.0
475,2019-11-25 16:47:09.420,0.0,1.0
476,2019-11-25 16:47:09.920,0.0,1.0
477,2019-11-25 16:47:10.420,0.0,1.0
478,2019-11-25 16:47:10.920,0.0,1.0
479,2019-11-25 16:47:11.420,0.0,1.0
480,2019-11-25 16:47:11.920,0.0,1.0
481,2019-11-25 16:47:12.420,0.0,0.0
482,2019-11-25 16:47:12.920,0.0,0.0
483,2019-11-25 16:47:13.420,0.0,0.0
484,2019-11-25 16:47:13.920,0.0,0.0
485,2019-11-25 16:47:14.420,0.0,0.0
486,2019-11-25 16:47:14.920,0.0,0.0
487,2019-11-25 16:47:15.420,0.0,0.0
488,2019-11-25 16:47:15.920,0.0,0.0
489,2019-11-25 16:47:16.420,0.0,0.0
490,2019-11-25 16:47:16.920,0.0,0.0
491,2019-11-25 16:47:17.420,0.0,0.0
492,2019-11-25 16:47:17.920,0.0,1.0
493,2019-11-25 16:47:18.420,0.0,1.0
494,2019-11-25 16:47:18.920,0.0,1.0
495,2019-11-25 16:47:19.420,0.0,0.0
496,2019-11-25 16:47:19.920,0.0,0.0
497,2019-11-25 16:47:20.420,0.0,0.0
498,2019-11-25 16:47:20.920,0.0,0.0
499,2019-11-25 16:47:21.420,0.0,0.0
500,2019-11-25 16:47:21.920,0.0,0.0
501,2019-11-25 16:47:22.420,0.0,0.0
502,2019-11-25 16:47:22.920,0.0,0.0
503,2019-11-25 16:47:23.420,0.0,0.0
504,2019-11-25 16:47:23.920,0.0,0.0
505,2019-11-25 16:47:24.420,1.0,0.0
506,2019-11-25 16:47:24.920,1.0,0.0
507,2019-11-25 16:47:25.420,1.0,1.0
508,2019-11-25 16:47:25.920,1.0,1.0
509,2019-11-25 16:47:26.420,0.0,0.0
510,2019-11-25 16:47:26.920,0.0,0.0
