time,r,iteration
2019-11-25 16:53:13.000,1,0
2019-11-25 16:48:00.000,0,0
2019-11-25 17:00:34.740,1,0
2019-11-25 16:47:26.000,1,0
2019-11-25 16:56:11.740,1,0
2019-11-25 17:00:15.500,1,0
2019-11-25 16:59:33.500,1,0
2019-11-25 16:55:08.000,1,0
2019-11-25 16:56:03.740,1,0
2019-11-25 16:58:47.500,1,0
2019-11-25 16:59:55.240,1,0
2019-11-25 16:48:48.000,1,0
2019-11-25 16:50:09.240,1,0
2019-11-25 16:55:37.740,1,0
2019-11-25 16:56:53.000,1,0
2019-11-25 16:54:31.240,1,0
2019-11-25 17:00:38.740,1,0
2019-11-25 16:59:29.740,1,0
2019-11-25 16:49:53.240,1,0
2019-11-25 16:58:30.500,1,0
2019-11-25 16:58:47.000,1,0
2019-11-25 16:48:34.500,1,0
2019-11-25 16:58:08.740,1,0
2019-11-25 16:59:35.240,1,0
2019-11-25 16:48:30.740,1,0
2019-11-25 16:47:32.240,1,0
2019-11-25 16:54:50.740,1,0
2019-11-25 16:57:08.500,1,0
2019-11-25 16:56:04.740,1,0
2019-11-25 16:54:48.740,1,0
2019-11-25 16:53:11.500,1,0
2019-11-25 16:56:01.500,1,0
2019-11-25 17:00:08.740,1,0
2019-11-25 16:58:00.240,1,0
2019-11-25 16:53:14.740,1,0
2019-11-25 16:47:44.000,1,0
2019-11-25 16:57:29.240,1,0
2019-11-25 17:00:27.740,1,0
2019-11-25 16:57:06.000,1,0
2019-11-25 16:53:29.740,1,0
2019-11-25 16:57:14.740,1,0
2019-11-25 16:55:18.240,1,0
2019-11-25 16:50:25.000,1,0
2019-11-25 16:54:56.000,1,0
2019-11-25 17:00:37.500,1,0
2019-11-25 16:55:58.500,1,0
2019-11-25 16:49:56.000,1,0
2019-11-25 16:54:55.500,1,0
2019-11-25 16:57:28.000,1,0
2019-11-25 16:48:31.240,1,0
2019-11-25 16:54:20.240,1,0
2019-11-25 16:57:17.500,1,0
2019-11-25 16:55:23.240,1,0
2019-11-25 17:00:33.240,1,0
2019-11-25 16:57:06.500,1,0
2019-11-25 17:00:43.000,1,0
2019-11-25 16:57:32.740,1,0
2019-11-25 16:52:31.740,1,0
2019-11-25 16:48:48.500,1,0
2019-11-25 16:57:51.740,1,0
2019-11-25 16:54:16.500,1,0
2019-11-25 16:55:16.500,1,0
2019-11-25 16:59:38.240,1,0
2019-11-25 16:48:33.740,1,0
2019-11-25 16:59:20.240,1,0
2019-11-25 16:59:50.000,1,0
2019-11-25 16:47:06.500,1,0
2019-11-25 16:57:52.500,1,0
2019-11-25 16:55:22.000,1,0
2019-11-25 16:57:14.000,1,0
2019-11-25 16:53:17.500,1,0
2019-11-25 16:56:16.500,1,0
2019-11-25 16:56:06.500,1,0
2019-11-25 16:47:45.000,0,0
2019-11-25 16:55:58.000,1,0
2019-11-25 16:52:16.740,1,0
2019-11-25 16:53:27.240,1,0
2019-11-25 16:59:30.740,1,0
2019-11-25 16:59:43.500,1,0
2019-11-25 16:55:03.000,1,0
2019-11-25 16:59:14.740,1,0
2019-11-25 16:56:10.740,1,0
2019-11-25 16:55:32.500,1,0
2019-11-25 16:48:40.500,1,0
2019-11-25 16:55:41.240,1,0
2019-11-25 16:50:05.000,1,0
2019-11-25 16:54:22.500,1,0
2019-11-25 16:47:34.500,1,0
2019-11-25 16:57:05.000,1,0
2019-11-25 16:58:18.740,1,0
2019-11-25 17:00:41.500,1,0
2019-11-25 16:48:23.240,1,0
2019-11-25 16:56:01.000,1,0
2019-11-25 16:58:36.240,1,0
2019-11-25 17:00:43.740,1,0
2019-11-25 16:56:59.500,1,0
2019-11-25 16:56:27.500,1,0
2019-11-25 16:52:16.940,1,0
2019-11-25 16:50:01.500,1,0
2019-11-25 16:49:07.240,0,0
2019-11-25 16:48:27.000,1,0
2019-11-25 16:57:09.000,1,0
2019-11-25 16:55:58.740,1,0
2019-11-25 16:48:53.000,1,0
2019-11-25 16:57:18.500,1,0
2019-11-25 16:56:33.500,1,0
2019-11-25 16:49:03.000,0,0
2019-11-25 16:56:56.740,1,0
2019-11-25 16:56:11.240,1,0
2019-11-25 16:58:21.500,1,0
2019-11-25 16:58:18.000,1,0
2019-11-25 16:53:11.000,1,0
2019-11-25 16:52:14.740,0,0
2019-11-25 16:54:27.500,1,0
2019-11-25 16:48:06.240,0,0
2019-11-25 16:53:13.240,1,0
2019-11-25 16:57:26.240,1,0
2019-11-25 16:58:06.000,1,0
2019-11-25 16:50:21.500,1,0
2019-11-25 16:50:19.240,1,0
2019-11-25 16:49:45.240,1,0
2019-11-25 16:57:37.240,1,0
2019-11-25 16:59:33.000,1,0
2019-11-25 16:57:45.000,1,0
2019-11-25 16:55:56.240,1,0
2019-11-25 16:59:40.000,1,0
2019-11-25 16:59:44.500,1,0
2019-11-25 16:54:37.740,1,0
2019-11-25 16:57:57.000,1,0
2019-11-25 16:58:35.000,1,0
2019-11-25 17:00:45.740,1,0
2019-11-25 16:57:26.500,1,0
2019-11-25 16:47:50.240,0,0
2019-11-25 17:00:40.740,1,0
2019-11-25 16:55:42.240,1,0
2019-11-25 17:00:00.740,1,0
2019-11-25 16:55:57.500,1,0
2019-11-25 16:57:23.500,1,0
2019-11-25 17:00:29.000,1,0
2019-11-25 16:54:24.500,1,0
2019-11-25 16:57:50.240,1,0
2019-11-25 16:49:42.500,0,0
2019-11-25 16:49:55.240,1,0
2019-11-25 16:47:44.500,0,0
